SampleID	PC1	PC2	PC3	PC4	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample4DOne	0.211259346	0.1478584025	-0.0066591596	-0.169183684	3.289	0.283	0.279	1.727	58.496	3.084	0.559	4.95	30
Sample4EOne	0.233736649	0.1287571273	-0.0099362551	-0.19794892	2.316	0.238	0.159	1.411	28.656	1.97	0.559	5.26	30
Sample5a10WPM	-0.050303739	0.097758512	0.1060095695	-0.002406163	16.756	0.524	0.881	1.698	556.6	39.185	5.885	4.015	10
Sample5a5WPM	-0.358794497	-0.0447956997	-0.123290535	-0.002469207	42.72	0.868	2.029	11.013	5905.948	347.496	95.561	3.44	5
Sample5ARem	0.343886636	-0.089113849	-0.0164409388	0.1923923	0.461	0.363	0.764	13.784	1.098	0	0	5.86	40
Sample5ASea	0.401777846	-0.0639295791	-0.0800144459	0.142359967	0.118	0.465	0.13	12.806	5.811	0.424	0	6.08	40
Sample5ATea	0.377067666	-0.033650478	-0.0524604051	0.09440573	0.902	0.097	0.081	22.76	1.1	0.043	3.358	6.13	40
Sample5AXXX	0.403807491	-0.0497370068	-0.0788128292	0.089347672	0.158	0.067	0.122	13.845	3.333	0.069	0	5.95	40
Sample5AZeb	0.390063665	-0.0866815299	-0.0477442558	0.160086405	0.413	0.241	0.128	13.184	4.467	0.162	1.558	5.977	40
Sample5b5WPM	-0.342457164	-0.02510701	-0.0695009744	0.052617226	42.304	0.682	2.673	2.763	4386.847	274.034	19.302	3.49	5
Sample5BRem	0.356513402	-0.0159558538	-0.0482691107	0.098509967	0.192	0.605	0.135	10.235	3.993	0.57	0	5.96	40
Sample5BSea	0.381796884	-0.0111421435	-0.0902238183	0.07044227	0.352	0.24	0.031	23.457	10.769	0.635	0	5.807	40
Sample5BTea	0.382486082	-0.0442869628	-0.0651340823	0.123845469	0.405	0.354	0.228	16.609	4.554	0.334	0.672	6.13	40
Sample5BXXX	0.36619188	0.0187157242	-0.1038957689	0.027690953	0.493	0.295	0.131	8.664	2.4	0.362	0	6.06	40
Sample5BYes	0.36495741	0.0159128251	-0.1120699885	0.030681667	0.558	0.35	0.117	18.654	7.581	0.142	0.644	5.84	40
Sample5CYes	0.368483684	-0.0534486647	-0.0659054276	0.072018547	0.722	0.018	0.144	13.558	5.885	0.147	7.145	5.59	40
Sample5CZeb	0.388502755	-0.0939488102	-0.0704469705	0.158930079	0.132	0.474	0.125	11.202	3.136	0.087	0	5.977	40
Sample6ARem	0.308029762	-0.1839270965	0.0140799672	0.216124679	0.338	0.425	0.23	10.895	4.984	0	0	5.945	50
Sample6ASea	0.391192773	-0.1515045226	-0.0441164542	0.238849326	0.164	0.195	0.085	16.273	6.252	0.525	1.492	5.915	50
Sample6ATea	0.397962815	-0.1071919631	-0.0475343754	0.186710442	0.433	0.127	0.056	27.935	4.03	0.387	1.133	6.003	50
Sample6BRem	0.307787318	-0.147513639	0.0041176537	0.211779902	0.691	0.458	0.133	35.649	6.67	0.493	3.861	5.87	50
Sample6BSea	0.38806775	-0.074269169	-0.0721308398	0.168417383	0.13	0.138	0.112	12.832	4.676	0.251	0.57	6.21	50
Sample6BTea	0.391428148	-0.1691174745	-0.0300469529	0.204688297	0.351	0.269	0.123	20.717	5.322	0.331	1.411	6.003	50
SampleFiEas	0.280184552	0.0310312363	-0.0341959316	0.047562287	0.551	0.189	0.202	3.35	38.226	4.01	1.558	5.94	40
SampleFiiEas	0.253568285	0.0585787107	-0.032124558	-0.002631995	0.303	0.189	0.202	3.35	38.226	4.01	1.558	5.695	40
SampleFiiiRem	0.141937077	-0.6432573058	0.2673109242	-0.169109413	0.199	0.042	0.934	25.903	3.638	0.2	0	6.037	60
SampleFiiiYes	0.378656671	-0.189758205	-0.0225032902	0.225757471	0.204	0	0.062	12.768	4.868	0.194	0.087	5.78	50
SampleFiiOne	0.369066191	-0.0537310197	-0.0675865825	0.108776345	1.12	0.21	0.122	0.783	7.855	0.974	1.558	5.9	40
SampleFiiWes	0.152687286	0.0656579012	0.0074485983	0.086682674	0.21	0	0.187	3.35	10.055	0.667	1.558	6.21	40
SampleFiOne	0.285890218	-0.0096386369	-0.0547579177	0.020689941	0.945	0.547	0.276	5.916	121.915	13.156	1.558	5.97	40
SampleFivSea	0.134335872	-0.5999030193	0.2868895534	-0.268333938	0.111	0.146	0.739	20.882	5.962	0.261	0	6.26	60
SampleFivTea	0.122555414	-0.6367026024	0.284828304	-0.22340329	0.363	0.034	0.743	32.37	7.146	0.233	0	6.207	60
SampleFiWes	0.40336166	-0.0591777025	-0.0913865137	0.084650872	0.269	0	0.223	3.35	13.08	1.244	1.558	5.76	40
SampleFiXXX	0.258548031	-0.0259371271	-0.0061341533	0.164031942	0.122	0.056	0.086	8.697	0.533	0.043	0	5.93	50
SampleFiYes	0.376091845	-0.173230854	-0.0287420815	0.218253934	0.129	0.01	0.055	12.225	5.925	0.464	0.184	5.78	50
SampleFiZeb	0.321128988	-0.2234668327	0.049967117	0.222688856	0.186	0.493	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFviiiXXX	0.378204609	-0.1615739433	-0.03839075	0.236610927	0.381	0.099	0.143	8.504	2.414	0.125	1.614	6.11	50
SampleFviiSea	0.100972896	-0.6478993581	0.293785751	-0.276247417	0.209	0.153	0.833	19.646	14.007	0.748	0	6.09	60
SampleFviZeb	0.311663952	-0.2272888628	0.0674824674	0.222119284	0.204	0.131	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFvRem	0.107120136	-0.6378944752	0.274119751	-0.238315898	0.931	0.142	1.143	21.776	1.914	0	0	6.037	60
SampleFvTea	0.122179435	-0.6466875333	0.2851646023	-0.239122822	0.178	0.034	0.878	43.744	6.533	0.288	0	6.207	60
Samplep1bEJP	0.199008776	0.0999008962	0.0004575868	0.018095652	2.419	1.556	0.472	1.422	54.257	2.943	0.162	5.01	20
Samplep2aEJP	-0.004926101	0.1214447333	0.0595387058	0.003348888	3.557	0.738	0.677	0.956	90.046	4.013	1.742	4.47	20
Samplep3cEJP	0.140899618	0.1631897784	0.0430698162	-0.112488783	2.365	0.603	0.787	0.092	15.514	1.195	1.526	5.04	20
