id,label,timeset,abundance,componentnumber,component
282,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__,,5484,2,
6123,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales,,5456,2,
186,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,,5322,0,
319,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium,,5320,0,
190,k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__,,5293,0,
226,k__Bacteria; p__Actinobacteria; c__Actinobacteria,,5066,0,
54,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,,5062,0,
252,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,,4974,2,
6337,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,4970,2,
174,k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__,,4904,0,
5811,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,,4877,0,
286,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales,,4855,0,
233,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,,4825,2,
182,k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__,,4793,0,
253,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__,,4759,0,
